branch	state	ahead	last_commit	adds_files	has_prereg	has_result
agent/b-c-lane-2026-07-17	DIVERGENT	1	2026-07-17	7	0	0
agent/c-jacobi-phase-cross-1	DIVERGENT	2	2026-08-23	8	1	0
agent/canon-v27-tm-sym2-retire-disposition	DIVERGENT	1	2026-07-29	1	0	0
agent/incubation-checker	DIVERGENT	13	2026-07-31	4	0	0
agent/incubation-contract	DIVERGENT	8	2026-08-01	2	0	0
agent/review-lambda-cocycle-conductor-capacity-2026-08-14	DIVERGENT	1	2026-08-14	7	0	0
agent/two-architecture-workflow	DIVERGENT	9	2026-07-27	6	0	0
canon/v38-cm-alternating-pencil-2	MERGED	0	-	0	0	0
ci/v27-activation-preflight-209	DIVERGENT	1	2026-07-29	1	0	0
claude/coin-minimal-read-type-1c194b	DIVERGENT	2	2026-08-04	17	0	0
claude/pracovni-ukoly-s1rdl3	MERGED	0	-	0	0	0
claude/science-status-v31-plan-ds4adk	DIVERGENT	2	2026-08-02	1	0	0
claude/v63-velky-uklid-1f5uft	DIVERGENT	5	2026-08-24	10	0	0
codex/cm-2i-qcarrier-hardening	DIVERGENT	1	2026-08-02	5	1	0
codex/entropy-mackey-consolidation	DIVERGENT	1	2026-08-02	8	2	0
codex/lean-public-audit-policy	DIVERGENT	2	2026-08-02	9	0	0
fix/policy-architecture-timeout-15	DIVERGENT	1	2026-08-21	3	0	0
fold/canon-v22	DIVERGENT	2	2026-07-25	20	0	0
fold/canon-v26-c8-bilinear-shadow	DIVERGENT	2	2026-07-27	17	0	0
fold/canon-v26-c8-metro-reduction-arrows	DIVERGENT	2	2026-07-28	18	0	0
fold/canon-v27-minimal-read	DIVERGENT	2	2026-07-29	20	0	0
fold/ramified-tm-lift-v11	DIVERGENT	2	2026-07-19	16	0	0
handoff/audit-euler-widder-depth-20260820	DIVERGENT	2	2026-08-20	20	4	0
handoff/audits-lambda-grid-qdd-terminality-20260820	DIVERGENT	1	2026-08-20	20	3	0
main	BASE	0	-	0	0	0
notes/C-AFFINE-READING-CHARACTER-CENSUS-1	DIVERGENT	2	2026-08-23	11	1	1
