pr	probe	pin_commit	pr_head	merge_commit	prereg_sha256	verifier_sha256	stdout_sha256	stdout_bytes	proof_sha256	proof_custody	x86_64_job	aarch64_job	aggregate_check	acceptance
1049	P-J-HODGE-PREDICTIVE-CLOSURE-1	8766a31ccbcb59db8b5161fcd186852c1e773fd9	3a1d53d0a557aecaa7ba9081a903820bd81789a9	72c466ae6d3682232e5a6720285dd6b8b755d7da	b47430d93a809bd181fb75ecf3bdca569096ba45feef80d2569a4ddbfea5e009	3938e0d23cf5003fb022263dd5c360ddf3fed3ad41d974ba4c37936adb803cbc	8b02840a92462b82e41ebc2526e069587f4435f73a6f221b928422209776c596	258	NOT_PRESENT	NO_SEPARATE_PROOF	https://github.com/mathorn1973/twist-j/actions/runs/35465730875/job/105957588353	https://github.com/mathorn1973/twist-j/actions/runs/35465730875/job/105957588466	https://github.com/mathorn1973/twist-j/actions/runs/35465730875/job/105957627294	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1050	P-A4-RAMIFIED-HODGE-TRACEKERNEL-1	f259d00e471ef22fa3417dd7967601cd1b24aa52	56b670385d83c2f212aa907a1e8b081ccdf72e47	b2a6d8314c0c88ec6bad76d1e13a75a257652ae2	64132f29159199daae5f083f55ba576c3699077efe2b3f2857b4708a99cc9af8	28424856e7143cb593872bdc7a8c1654de6bd1a874cdb231330e8eb67b1d0161	ef3db1b8d206623316dfc253738cb8e644e41b3f3036ebd5574b0b1639a9de5d	308	NOT_PRESENT	NO_SEPARATE_PROOF	https://github.com/mathorn1973/twist-j/actions/runs/35465897236/job/105958044324	https://github.com/mathorn1973/twist-j/actions/runs/35465897236/job/105958044275	https://github.com/mathorn1973/twist-j/actions/runs/35465897236/job/105958088107	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1052	P-J-HODGE-HERM2-LOXODROME-1	01781f62472969cd08428e5368f93b8761c20faa	df37e6d6c2e0eef879a2981e21d333cccd3d76c8	9351b130c3e31645257db31ca1a6bbadaa51a7fb	fb12b0848286f9e4de6b54d4f8bcc1fc91f82e7d39aaa86dc988d7a850a9736c	02f33f1de4174ee4d4aeb45202d838897e68c3bd205df23f9b208cc669f489d9	3b73db632d37eb54c4fee2053eea87072addcfe2e2972905457851fc814aecea	288	NOT_PRESENT	NO_SEPARATE_PROOF	https://github.com/mathorn1973/twist-j/actions/runs/35466314737/job/105959175481	https://github.com/mathorn1973/twist-j/actions/runs/35466314737/job/105959175180	https://github.com/mathorn1973/twist-j/actions/runs/35466314737/job/105959218566	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1056	P-J-C5-HODGE-CONIC-ATLAS-1	1293b52ba13dee35fff1c40ed02fe21523b61b57	8de33ebca467a82b00c49beef4b419359efedca0	08f1a4f84143db6a40e585d728af19d12d5bd771	6fc94eb99e75f4b178ed47ebc7f68e9b762dd999cf20f622b2c69ef77dc02609	96a5b86448ed10333de9e1e126c55f5365d09e917b65367652c9baa4aecf40e3	d11c3e1a88ef8ad87d0859d50752d9a23954876fe4055af686eb2b985c90ac9b	302	NOT_PRESENT	NO_SEPARATE_PROOF	https://github.com/mathorn1973/twist-j/actions/runs/35466723548/job/105960300351	https://github.com/mathorn1973/twist-j/actions/runs/35466723548/job/105960300248	https://github.com/mathorn1973/twist-j/actions/runs/35466723548/job/105960348077	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1058	P-U-J-HODGE-CHECKPOINT-NOGO-1	c87aa8e40b9d1fccc7eae91675fc46dbede351a9	2b3dd912be789e3f1bc284fd0a290e8aea6cf8a6	2502d02e6fa0f0d2209959f4aee0d078a35d0a54	3144e1ec1ebdf9a880610536a558fa18b5a908507f0f5c076c14894059dc23e5	cc433c0394801ebb5dd069a2f1f1f79d519d2db1a573d13343168dc418aaf38f	b08c1aef7d6277a5451037b7d3a95ea68345f16ab0dd5181ae445adb2c638ef7	418	05271631e84f7260bf0afb41e011ca7a44fe70f4cf18b34e7c86aaaa97b07eb0	PIN_AND_ACCEPTED_HEAD	https://github.com/mathorn1973/twist-j/actions/runs/35470876827/job/105971496578	https://github.com/mathorn1973/twist-j/actions/runs/35470876827/job/105971496684	https://github.com/mathorn1973/twist-j/actions/runs/35470876827/job/105971545744	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1060	P-J-HODGE-INTEGRAL-LIFT-1	56f1d28bd7c4a180f68d5a6f7fce59f5cd7447cf	b67e14c36945a153ccd3c8b0a156ad8884e677f6	5422e122f3b29b1810011a92be3c9d1c90006049	7e023460c0d02ba6858d422c7308bdffad392e1af6f22d9fa974822131fdae5a	23316c905b944762a56c4804e172aac860e17289187554de197f50f4b7fe7bf8	c8580491eda301ebdc698f112f0a4e8c5fb46cc1aa88d90eec698b8237d953a8	364	d475f2b5504cb85a50209c00d2c1b0cf83f15fa63efafe153870d87d583fa5ff	PIN_AND_ACCEPTED_HEAD	https://github.com/mathorn1973/twist-j/actions/runs/35471759246/job/105973855012	https://github.com/mathorn1973/twist-j/actions/runs/35471759246/job/105973854878	https://github.com/mathorn1973/twist-j/actions/runs/35471759246/job/105973896176	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1062	P-NATIVE-BC-HODGE-D5-SEAM-1	594b14ba4d5a8aac54926344eb95de6b366cbadf	c46789703b4f8292e6591e5b99b92395227cb1e0	b66266f9d604cf57fef57349e6fdad395b329cd5	1c8b3339d8bbaff5e40a43f31435e8ed4f0bd570f9fa55c48f7d93bfe0e045db	2f0162073a5012ea18db9528c00996118e7215d34014264bfe8f094908fee85f	801b45c8b63515e27a9734952145e9d92ea583f6591c128a5f23979cbeb596b8	639	ffc6073dce7f3852ff6c850a67402c24e939b0ed168f22700ec1be38d3217c3b	ACCEPTED_HEAD_POST_PIN	https://github.com/mathorn1973/twist-j/actions/runs/35472103581/job/105974799828	https://github.com/mathorn1973/twist-j/actions/runs/35472103581/job/105974799979	https://github.com/mathorn1973/twist-j/actions/runs/35472103581/job/105974855959	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1064	P-NATIVE-LINEAR-ORDER5-HODGE-CLASS-1	2f6a3d9bc30ab7e34b324bb82d136e011de3cfbd	315a57ba4cfa75111473d104771e5d1f16ef7e24	c85497cfc5dd60dcfc6b84d3e3086c361ffe0e35	efc50c4f7b51d97d84560fe1c34c4b0a9812f20fcb8002789a4f54078e5e15c9	b81b0236aa360a5f37d7891e314b4d4a3fdf0f6c9286c5dffe385677e770cff6	4189f62c33bbc83d82fe5db79713dc0d11c2d97382623650d5e2f3510bf7129a	436	509dfa5919d938ee60afb1dcc00c87cf78e85aadc54dc9e35215f5836938c3ab	ACCEPTED_HEAD_POST_PIN	https://github.com/mathorn1973/twist-j/actions/runs/35472317915/job/105975390621	https://github.com/mathorn1973/twist-j/actions/runs/35472317915/job/105975390512	https://github.com/mathorn1973/twist-j/actions/runs/35472317915/job/105975435561	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1066	P-NATIVE-LINEAR-JHODGE-STEP-CLASS-1	d4bc4657795046a3b3fe60f0b021d64cfb58e0e7	7127225237d8db5d27d658901af017b3baff8a3f	20e6804ed1405672d9f8ceba68a30a0c875ffa50	01f85525e371b52a83658fd3b12733046a5e56cc667f67775d8575eae1c487c0	0b7fcf1c720f2b33174c4f15dd920e6c78a1802e2e37afc47153d8dc27e00cc3	a9bb303dbb77fc46d09d54ada0f0d82f68cc2214eb741f22a0ebf8cc82ab42b6	537	d33ea595121ab91885b76d32c9495ae478d1b7df9e3b4f492c62badad232e2f7	ACCEPTED_HEAD_POST_PIN	https://github.com/mathorn1973/twist-j/actions/runs/35472607493/job/105976205001	https://github.com/mathorn1973/twist-j/actions/runs/35472607493/job/105976204839	https://github.com/mathorn1973/twist-j/actions/runs/35472607493/job/105976248349	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
1068	P-J-HODGE-COUNTER-CARRY-FACTOR-1	78fe0ca9d2e904fed569db3e90487f27eeabc525	f3a7e592d0ffb0284af4549bbde6911e1cdc9cd4	08d7984d97c85d89d0b22a400762a5140fcb3bb5	13b6d1dceadedb0178c49cb6cc27650e57de84902ffc21f23982cbce8b36e91c	58db6d7a9f86c287baf6569322acbe3bde413448805fa443bfde6182c5e87fe2	da48ca7e9b01dcf3518e17d5645ba6e76de45ade3b417d7d6a78172bf99c7c58	460	4ec12b98f7f9d30fc3793387a8142c636a42038172d517407847ec21d5c3b335	PIN_AND_ACCEPTED_HEAD	https://github.com/mathorn1973/twist-j/actions/runs/35472906587/job/105977038812	https://github.com/mathorn1973/twist-j/actions/runs/35472906587/job/105977038743	https://github.com/mathorn1973/twist-j/actions/runs/35472906587/job/105977090250	TWO_ARCH_SCIENTIFIC_REPLAY_AND_CHECK_SUCCESS
