index	kind	register	level	area_pi	phase_pi	calibration_key
1	carrier	P	3	1	1	carrier.P.3
2	carrier	P	0	1	0	carrier.P.0
3	carrier	P	3	1	0	carrier.P.3
4	carrier	P	1	1	1	carrier.P.1
5	carrier	P	3	1	0	carrier.P.3
6	carrier	P	1	1	0	carrier.P.1
7	carrier	P	4	1	1	carrier.P.4
8	carrier	P	1	1	0	carrier.P.1
9	carrier	P	4	1	0	carrier.P.4
10	carrier	P	2	1	1	carrier.P.2
11	carrier	P	4	1	0	carrier.P.4
12	carrier	P	2	1	0	carrier.P.2
13	carrier	S	0	1	0	carrier.S.0
14	blue	S	0	1	0	blue.S.0
15	blue	P	1	1	1	blue.P.1
16	blue	P	0	1	0	blue.P.0
17	blue	P	1	1	0	blue.P.1
18	blue	P	2	1	1	blue.P.2
19	blue	P	1	1	0	blue.P.1
20	blue	P	2	1	0	blue.P.2
21	blue	P	3	1	1	blue.P.3
22	blue	P	2	1	0	blue.P.2
23	blue	P	3	1	0	blue.P.3
24	blue	P	4	1	1	blue.P.4
25	blue	P	3	1	0	blue.P.3
26	blue	P	4	1	0	blue.P.4
27	blue	S	0	1	1	blue.S.0
28	carrier	S	0	1	1	carrier.S.0
